iddistrito,idprovincia,NombreDistrito,ubigeo
1,46,Chachapoyas,010101
2,46,Asuncion,010102
3,46,Balsas,010103
4,46,Cheto,010104
5,46,Chiliquin,010105
6,46,Chuquibamba,010106
7,46,Granada,010107
8,46,Huancas,010108
9,46,"La Jalca",010109
10,46,Leimebamba,010110
11,46,Levanto,010111
12,46,Magdalena,010112
13,46,"Mariscal Castilla",010113
14,46,Molinopampa,010114
15,46,Montevideo,010115
16,46,Olleros,010116
17,46,Quinjalca,010117
18,46,"San Francisco de Daguas",010118
19,46,"San Isidro de Maino",010119
20,46,Soloco,010120
21,46,Sonche,010121
22,19,Bagua,010201
23,19,Aramango,010202
24,19,Copallin,010203
25,19,"El Parco",010204
26,19,Imaza,010205
27,19,"La Peca",010206
28,24,Jumbilla,010301
29,24,Chisquilla,010302
30,24,Churuja,010303
31,24,Corosha,010304
32,24,Cuispes,010305
33,24,Florida,010306
34,24,Jazan,010307
35,24,Recta,010308
36,24,"San Carlos",010309
37,24,Shipasbamba,010310
38,24,Valera,010311
39,24,Yambrasbamba,010312
40,59,Nieva,010401
41,59,"El Cenepa",010402
42,59,"Rio Santiago",010403
43,116,Lamud,010501
44,116,Camporredondo,010502
45,116,Cocabamba,010503
46,116,Colcamar,010504
47,116,Conila,010505
48,116,Inguilpata,010506
49,116,Longuita,010507
50,116,"Lonya Chico",010508
51,116,Luya,010509
52,116,"Luya Viejo",010510
53,116,Maria,010511
54,116,Ocalli,010512
55,116,Ocumal,010513
56,116,Pisuquia,010514
57,116,Providencia,010515
58,116,"San Cristobal",010516
59,116,"San Francisco del Yeso",010517
60,116,"San Jeronimo",010518
61,116,"San Juan de Lopecancha",010519
62,116,"Santa Catalina",010520
63,116,"Santo Tomas",010521
64,116,Tingo,010522
65,116,Trita,010523
66,156,"San Nicolas",010601
67,156,Chirimoto,010602
68,156,Cochamal,010603
69,156,Huambo,010604
70,156,Limabamba,010605
71,156,Longar,010606
72,156,"Mariscal Benavides",010607
73,156,Milpuc,010608
74,156,Omia,010609
75,156,"Santa Rosa",010610
76,156,Totora,010611
77,156,"Vista Alegre",010612
78,186,"Bagua Grande",010701
79,186,Cajaruro,010702
80,186,Cumba,010703
81,186,"El Milagro",010704
82,186,Jamalca,010705
83,186,"Lonya Grande",010706
84,186,Yamon,010707
85,90,Huaraz,020101
86,90,Cochabamba,020102
87,180,Colcabamba,020103
88,90,Huanchay,020104
89,90,Independencia,020105
90,90,Jangas,020106
91,90,"La Libertad",020107
92,90,Olleros,020108
93,90,Pampas,020109
94,90,Pariacoto,020110
95,90,Pira,020111
96,90,Tarica,020112
97,4,Aija,020201
98,4,Coris,020202
99,4,Huacllan,020203
100,4,"La Merced",020204
101,4,Succha,020205
102,11,Llamellin,020301
103,11,Aczo,020302
